OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,cropAcres,pctWScropAcres,cpNO3load,cpNO3LoadReduced,cpWSNO3LoadPct,cpSEDload,cpSEDloadlbs,cpSEDLoadReduced,cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12
1,F070600060901_7,3622.598785,164709.1806,40.6831665,7607.751953,6366.102051,73.22969818,793.3217773,13.01861286,2.03415823,40.6831665,0.004600825,1122.634277,348.0166321,0.001906212,25.30188942,50603.78125,18.72339821,7.14664E-05,13973.85352,21.86031151,40.15283203,406.3232422,746.3310547,105,070600060901
2,F070600060901_12,2912.791883,91551.44264,22.61320686,4228.669922,3612.233887,40.7037735,440.9575195,7.236226082,1.130660295,22.61320686,0.002557309,561.0118408,173.9136658,0.000952588,80.26359558,160527.1875,59.39506149,0.000226708,7840.903809,24.31476593,45.08503723,71.19564819,132.0127258,105,070600060901
3,F070600060901_13,4611.379915,159978.375,39.51465988,7389.241211,6183.253418,71.12638855,770.5358887,12.64469147,1.975733042,39.51465988,0.00446868,980.3167114,303.8981934,0.00166456,124.7768478,249553.7031,92.33486938,0.000352438,13572.49414,24.31485748,44.66131973,80.02655029,146.9920807,105,070600060901
4,F070600060901_38,4221.778508,170302.5877,42.06473923,7866.106445,7542.20752,75.71652985,820.2623901,13.46071625,2.103236914,42.06473923,0.004757066,1099.292114,340.7805481,0.001866578,162.6386261,325277.25,120.3525848,0.000459381,15408.31445,23.0826149,45.21477127,65.35884857,128.0264587,105,070600060901
5,F070600060901_41,1336.684843,82213.79541,20.30680656,3797.372803,3045.209961,36.55225372,395.9827271,6.498178005,1.015340328,20.30680656,0.00229648,530.6898193,164.5138397,0.000901101,14.37483311,28749.66602,10.63737679,4.06024E-05,6842.583008,23.08239174,41.59275055,356.9839478,643.2584839,105,070600060901
6,F070600060901_54,3861.367889,111495.2981,27.53933907,5149.856445,4399.133789,49.57080841,537.0170898,8.812588692,1.376966953,27.53933907,0.003114401,683.2327881,211.8021698,0.001160117,80.58172607,161163.4531,59.63047791,0.000227607,9548.990234,24.31446457,45.08447647,86.36282349,160.1360626,105,070600060901
7,F070600060901_61,6936.871914,162578.4686,40.15688324,7509.337402,5236.456543,72.28238678,783.0592041,12.85020256,2.00784421,40.15688324,0.004541309,1195.958252,370.7470703,0.002030715,163.0089874,326017.9688,120.6266479,0.000460427,12745.79395,20.25461006,34.37867737,62.25272369,105.6631699,105,070600060901
8,F070600060901_335,783.4586912,20647.12276,5.099839211,953.6699219,399.0114136,9.179710388,99.44686127,1.63194859,0.254991949,5.099839211,0.000576737,12.33187103,3.82288003,2.09393E-05,,,,,1352.681396,249.4637299,353.8383179,,,105,070600060901
9,F070600060901_715,3264.858897,58922.28507,14.5538044,2721.561523,1992.706909,26.19684792,283.7991943,4.657217503,0.72769022,14.5538044,0.001645878,401.6250916,124.5037766,0.000681952,11.50065708,23001.31445,8.510486603,3.24842E-05,4714.268555,21.85926819,37.86446381,319.7891846,553.9364014,105,070600060901
10,F070600060901_718,7099.580127,150424.0909,37.15475082,6947.938477,5087.228516,66.8785553,724.5176392,11.88952065,1.857737541,37.15475082,0.0042018,921.7589722,285.7452698,0.00156513,151.6380768,303276.1563,112.2121735,0.000428309,12035.16699,24.3151474,42.11851883,61.91786575,107.2536697,105,070600060901
